timesteps,ep_rew_mean,ep_rew_std,ep_len_mean
270000,34.657329759999996,67.79835492205997,607.6
272000,34.388155909999995,67.89009917293765,599.61
274000,34.00478632,69.6158138524332,600.71
276000,33.87631416,69.48677923829041,600.71
278000,33.88173031,69.49123970001156,600.71
280000,34.704590800000005,69.79362912375223,609.28
282000,37.040497869999996,67.94503745786582,599.99
284000,39.07608585,68.8118876238704,618.1
286000,40.50292942,69.77528254316024,626.89
288000,41.42855084,68.67709116718446,617.42
290000,40.852196989999996,68.7205668143506,618.47
292000,41.04320259,68.75877850693213,618.97
294000,41.58119979,68.68122354842224,619.36
296000,41.58119979,68.68122354842224,619.36
298000,44.51146119999999,66.1285155500666,633.63
300000,48.23739697,65.41025292736195,639.25
302000,49.625124619999994,64.09108746562752,638.12
304000,49.701862549999994,64.08841124003332,647.17
306000,52.298866190000005,56.69552343286447,627.99
308000,50.20367472,56.627116068431675,603.51
310000,49.92455211000001,56.187069853971515,594.85
312000,49.45738105,56.14724702974257,586.51
314000,49.45738105,56.14724702974257,586.51
316000,50.514692539999984,56.393531657098485,595.16
318000,52.38520518,57.18111972993203,603.2
320000,53.26379895,57.890309998926604,603.2
322000,55.33924207000001,54.473275678411625,601.51
324000,56.74728366,54.84704180511813,620.71
326000,56.45247265000001,54.995251775460424,612.78
328000,56.486564449999996,52.92938999379117,601.99
330000,57.11973957,51.79659983537105,601.85
332000,58.216518470000004,52.30988512290833,610.41
334000,58.99198571,52.74630692617343,618.66
336000,58.99198571,52.74630692617343,618.66
338000,60.896602359999996,53.578867510465464,635.53
340000,66.76836374,51.38623840584448,659.04
342000,66.06529402,52.16776122948474,641.99
344000,66.98161338999999,52.720378923162784,642.05
346000,67.34754487,52.792541234499076,633.93
348000,68.4718788,52.57102801277313,641.68
350000,69.08310822,52.17100319873291,650.34
352000,69.08310822,52.17100319873291,650.34
354000,69.91463863000001,51.56475690790763,658.45
356000,72.76746588,52.01209851846991,675.16
358000,73.69053079000001,51.96063276073701,683.74
360000,74.95728289,51.78805866918305,691.25
362000,75.91419889000001,51.7920618127716,699.3
364000,75.63861794,52.433435962915404,699.61
366000,76.15797468000001,52.563169440275125,699.61
368000,73.99109032,54.77873706337146,686.17
370000,73.84257224,54.69379391478541,686.17
372000,75.98687371,54.173716662752724,711.44
374000,78.12657580999999,52.609807001141526,727.82
376000,79.61505723999998,52.29101117120154,735.91
378000,81.82113192,51.54072680146497,744.21
380000,82.40745986,51.16988513585322,751.9
382000,83.01564291999999,51.19351158607739,760.42
384000,84.17977504000001,50.68655750844614,777.03
386000,82.96180745,51.749194675651815,777.34
388000,84.7018115,51.438702366804705,785.6
390000,87.90533460999997,49.80332498410062,802.23
392000,88.82134565,49.811974916814904,819.56
394000,90.11918631,50.235389254869006,828.08
396000,89.97482267999997,51.7101185967873,828.55
398000,90.78940372999998,51.53395543033812,837.1
400000,90.0830719,51.55073767564464,837.1
402000,91.6617153,51.37524358098841,841.45
404000,91.52115884999999,51.38843602074241,841.45
406000,91.56875001,51.42520918660793,841.45
408000,91.7954998,50.97020092327169,846.59
410000,91.7954998,50.97020092327169,846.59
412000,92.27375846000001,51.14965832268607,846.59
414000,92.25935543000001,51.23046308519085,846.59
416000,92.94262294,51.17247320711241,854.83
418000,96.63769880999999,48.19247983875243,876.87
420000,96.27632797,48.05138547063593,876.87
422000,96.00116183999998,47.97971805586189,876.87
424000,95.99800734999997,47.97581279875887,876.87
426000,95.99800734999997,47.97581279875887,876.87
428000,96.38567142999999,48.174714396979454,876.87
430000,96.54805358,48.37120098036827,876.87
432000,96.61665458000002,47.14991102070496,885.03
434000,97.41592343999999,46.04847566067189,902.0
436000,99.15624138999998,45.31298487388376,918.16
438000,98.88283501999999,45.2011634085889,918.16
440000,98.66209574999999,45.181907424918386,918.16
442000,98.66209574999999,45.181907424918386,918.16
444000,99.39988036000001,45.16682924741068,918.16
446000,100.02803449000001,45.43950030987854,918.16
448000,98.48882786999998,45.49539070356937,910.15
450000,100.79413493,45.5123389165804,918.64
452000,101.77814903999999,46.32184362005049,918.64
454000,103.45764430999999,47.39622028865155,903.69
456000,104.88757588,44.644879327235806,900.96
458000,104.88757588,44.644879327235806,900.96
460000,103.75252941999999,45.76295489192661,885.71
462000,103.75252941999999,45.76295489192661,885.71
464000,104.33116939,45.96822976940425,877.66
466000,104.5204308,46.21671304671506,877.66
468000,103.89644248999997,47.25921599484343,870.03
470000,105.32393292,45.49885878298711,862.22
472000,106.22105029000002,45.85982068085525,862.22
474000,106.22105029000002,45.85982068085525,862.22
476000,105.57612929999998,46.376884135082335,854.64
478000,105.57612929999998,46.376884135082335,854.64
480000,107.99129193,45.717661875965284,861.75
482000,107.83889256999998,45.59513748137603,861.75
484000,109.03599597,42.58750242256113,869.63
486000,110.70889437999999,41.087808038896014,877.2
488000,109.62593492999999,41.00956844930084,873.12
490000,109.62593492999999,41.00956844930084,873.12
492000,110.92653061000001,41.44774133130532,873.12
494000,110.92653061000001,41.44774133130532,873.12
496000,111.71300138000001,41.97977942306564,873.12
498000,112.49238543999999,41.910846714495314,873.12
500000,113.46195667999999,43.13260356021969,865.28
502000,114.99735601999998,41.6169469305272,875.78
504000,115.00461528,42.59201845211111,859.94
506000,115.00461528,42.59201845211111,859.94
508000,116.56865282000001,43.16129097895227,859.94
510000,116.56865282000001,43.16129097895227,859.94
512000,117.15066958,43.20853553856893,859.94
514000,117.31401017,43.29195111854903,859.94
516000,117.29063835000001,43.26790608958644,859.94
518000,119.22121440000001,43.78612492243173,859.94
520000,120.36739438000004,44.25403433965082,852.16
